Name in population file;Name in r5 region classification
Bolivia (Plurinational State of);Bolivia
Cabo Verde;Cape Verde
China, Taiwan Province of China;Taiwan
Côte d'Ivoire;Cote d'Ivoire
Czechia;Czech Republic
Dem. People's Republic of Korea;Democratic People's Republic of Korea
Eswatini;Swaziland
Libya;Libyan Arab Jamahiriya
Micronesia;Micronesia (Fed. States of)
North Macedonia;The former Yugoslav Republic of Macedonia
Réunion;Reunion
State of Palestine;Occupied Palestinian Territory
Viet Nam;Vietnam
